dataset,seed,b,contraction,num_sets,universe,elements,baseline_bits,ceb_bits,baseline_bpe,ceb_bpe,H_bpe,L_bpe,saving_pct,baseline_total_bpe,ceb_total_bpe,total_saving_pct,ceb_build_ms,base_build_ms,max_depth,mean_depth,ceb_retrieve_us,ceb_rank_us,base_retrieve_us,base_rank_us,all_ok,num_ret,num_rank
nested,2024,16,0,64,480,10224,26243,6637,2.5668,0.6492,1.9370,0.2448,74.7094,13.4792,10.2042,24.2963,4.6120,0.9300,63,31.5000,13.8440,19.8560,2.0115,0.9990,1,2000,2000
nested,2024,16,1,64,480,10224,26243,14311,2.5668,1.3997,1.9370,1.0418,45.4674,13.4792,11.7198,13.0527,4.5450,1.0920,6,2.7656,0.9830,1.8185,1.0090,1.0720,1,2000,2000
nested,2024,32,0,64,480,10224,23693,6329,2.3174,0.6190,1.9370,0.2448,73.2875,12.7771,10.4258,18.4027,4.7680,2.3460,63,31.5000,12.1290,29.7825,0.7385,1.1645,1,2000,2000
nested,2024,32,1,64,480,10224,23693,13198,2.3174,1.2909,1.9370,1.0418,44.2958,12.7771,11.4306,10.5387,4.5540,1.0330,6,2.7656,0.9950,2.2100,0.7430,1.2410,1,2000,2000
nested,2024,64,0,64,480,10224,23091,7387,2.2585,0.7225,1.9370,0.2448,68.0092,12.4901,10.9567,12.2773,7.4270,1.5390,63,31.5000,19.3690,48.2945,1.2285,1.7180,1,2000,2000
nested,2024,64,1,64,480,10224,23091,13739,2.2585,1.3438,1.9370,1.0418,40.5006,12.4901,11.5849,7.2475,4.7900,1.1480,6,2.7656,1.3355,3.5090,0.8165,1.5515,1,2000,2000
nested,90210,4,0,64,480,9605,32676,9754,3.4020,1.0155,2.0857,0.2564,70.1493,15.6909,10.9143,30.4417,4.1540,1.1920,63,31.5000,14.7630,10.8540,0.7190,0.8990,1,2000,2000
nested,90210,4,1,64,480,9605,32676,16615,3.4020,1.7298,2.0857,1.0654,49.1523,15.6909,12.5140,20.2467,4.4610,0.8930,5,2.7344,0.8270,1.1480,1.2930,0.8405,1,2000,2000
nested,90210,8,0,64,480,9605,28932,7679,3.0122,0.7995,2.0857,0.2564,73.4585,13.7097,10.3404,24.5759,4.0600,0.8760,63,31.5000,8.7705,10.3580,0.6720,1.1785,1,2000,2000
nested,90210,8,1,64,480,9605,28932,15072,3.0122,1.5692,2.0857,1.0654,47.9054,13.7097,11.6103,15.3134,4.2660,0.8950,5,2.7344,0.7905,1.3005,0.9720,1.0755,1,2000,2000
